2022-02-15 10:45:45; 00:00:00.98; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2127;
2022-02-15 10:45:45; 00:00:00.98; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2127;
2022-02-15 10:45:46; 00:00:00.544; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2127;
2022-02-15 10:45:46; 00:00:05.5265; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2127;
2022-02-15 10:45:47; 00:00:00.64; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2127;
2022-02-15 10:47:00; 00:00:00.349; Consulta; InsertLog; AppController; Log; 2130;
2022-02-15 10:47:02; 00:00:00.97; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2130;
2022-02-15 10:47:03; 00:00:00.523; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2130;
2022-02-15 10:47:03; 00:00:00.673; Consulta; InsertHistory; AppController; createHistory; 2130;
2022-02-15 10:47:03; 00:00:04.4313; Consulta; Funcion completa; BaseCustomersController; consult; 2130;
2022-02-15 10:47:32; 00:00:00.101; Declinada; Conteo Normalizacion; AppController; updateHistory; 2130;
2022-02-15 10:47:33; 00:00:00.102; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2130;
2022-02-15 10:47:34; 00:00:01.1228; Declinada; Guardar History; AppController; updateHistory; 2130;
2022-02-15 10:47:36; 00:00:00.111; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2130;
2022-02-15 10:47:36; 00:00:00.111; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2130;
2022-02-15 10:47:36; 00:00:00.509; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2130;
2022-02-15 10:47:37; 00:00:05.5223; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2130;
2022-02-15 10:47:38; 00:00:00.72; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2130;
2022-02-15 10:49:33; 00:00:00.332; Consulta; InsertLog; AppController; Log; 2133;
2022-02-15 10:49:36; 00:00:00.90; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2133;
2022-02-15 10:49:36; 00:00:00.489; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2133;
2022-02-15 10:49:36; 00:00:00.763; Consulta; InsertHistory; AppController; createHistory; 2133;
2022-02-15 10:49:36; 00:00:04.4372; Consulta; Funcion completa; BaseCustomersController; consult; 2133;
2022-02-15 10:49:49; 00:00:00.92; Declinada; Conteo Normalizacion; AppController; updateHistory; 2133;
2022-02-15 10:49:49; 00:00:00.94; Declinada; EliminarHistoryDetails; AppController; updateHistory; 2133;
2022-02-15 10:49:51; 00:00:01.1202; Declinada; Guardar History; AppController; updateHistory; 2133;
2022-02-15 10:49:52; 00:00:00.89; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2133;
2022-02-15 10:49:52; 00:00:00.89; Declinada; Eliminar logTransactional; logTransactional; PersistenceLogsTransactional; 2133;
2022-02-15 10:49:53; 00:00:00.501; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2133;
2022-02-15 10:49:53; 00:00:04.4872; Evaluar Oferta; Funcion completa; BaseObligationsController; evaluar; 2133;
2022-02-15 10:49:54; 00:00:00.50; Renderisar una Oferta; Funcion completa; BaseObligationsController; oferta; 2133;
2022-02-15 10:55:47; 00:00:01.1461; Consulta; InsertLog; AppController; Log; 2143;
2022-02-15 10:55:52; 00:00:00.474; Declinada; Conteo logTransactional; logTransactional; PersistenceLogsTransactional; 2143;
2022-02-15 10:55:52; 00:00:00.490; Declinada; Insertar logTransactional; logTransactional; PersistenceLogsTransactional; 2143;
